Name,Position,Appearances,Club,Age,Country
Ronnie Edwards,Midfielder,1,Peterborough United,0 ,England
Glen Rea,Defender,5,Luton Town,27 ,Republic of Ireland
Christopher Maxwell,Goalkeeper,9,Blackpool,31 ,Wales
Mark Thomas Harris,Forward,9,Cardiff City,22 ,Wales
Matt Ingram,Goalkeeper,9,Hull City,27 ,England
Adam Smith,Defender,6,AFC Bournemouth,30 ,England
William Hondermarck,Midfielder,2,Barnsley,20 ,France
Brennan Johnson,Midfielder,1,Nottingham Forest,20 ,Wales
Viktor Gyökeres,Forward,9,Coventry City,23 ,Sweden
Callum Elder,Defender,8,Hull City,26 ,Australia
Maikel Kieftenbeld,Midfielder,10,Millwall,31 ,Netherlands
Jamal Lowe,Midfielder,9,AFC Bournemouth,27 ,England
Sam Clucas,Midfielder,11,Stoke City,30 ,England
Tyrhys Dolan,Midfielder,9,Blackburn Rovers,19 ,England
Lucas Eduardo Santos João,Forward,2,Reading,28 ,Portugal
Ilias Chair,Midfielder,11,Queens Park Rangers,23 ,Belgium
Chris Mepham,Defender,13,AFC Bournemouth,23 ,Wales
Ivan Šunjić,Midfielder,10,Birmingham City,24 ,Croatia
Enda Stevens,Defender,4,Sheffield United,31 ,Republic of Ireland
Luke Anthony Freeman,Forward,7,Sheffield United,29 ,England
James Edward Lea Siliki,Midfielder,5,Middlesbrough,25 ,France
Jonathan Hogg,Midfielder,10,Huddersfield Town,32 ,England
Aaron Leya Iseka,Forward,4,Barnsley,23 ,Belgium
Rodrigo Muniz Carvalho,Forward,1,Fulham,20 ,Brazil
Alex Scott,Forward,6,Bristol City,0 ,England
Josh Magennis,Forward,9,Hull City,31 ,Northern Ireland
Sepp van den Berg,Defender,12,Preston North End,19 ,Netherlands
John Fleck,Midfielder,11,Sheffield United,30 ,Scotland
Robin Olsen,Goalkeeper,5,Sheffield United,31 ,Sweden
Daniel Iversen,Goalkeeper,10,Preston North End,24 ,Denmark
Jayden Bogle,Defender,5,Sheffield United,21 ,England
Oluwasemilogo Adesewo Ibidapo Ajayi,Defender,8,West Bromwich Albion,27 ,Nigeria
Andy King,Midfielder,7,Bristol City,32 ,Wales
Harry Toffolo,Defender,8,Huddersfield Town,26 ,England
Ethan Briston,Midfielder,1,Reading,0 ,England
Callum Robinson,Forward,12,West Bromwich Albion,26 ,England
Oluwaseyi Babajide Ojo,Midfielder,4,Millwall,24 ,England
Reece Burke,Defender,5,Luton Town,25 ,England
Jordan Clark,Forward,4,Luton Town,27 ,England
Michael Morrison,Defender,8,Reading,33 ,England
Joe Bryan,Defender,4,Fulham,27 ,England
Juan Familio-Castillo,Midfielder,6,Birmingham City U23,21 ,Netherlands
Daniel Butterworth,Forward,4,Blackburn Rovers,21 ,England
Marlon Pack,Midfielder,9,Cardiff City,30 ,England
Lloyd Kelly,Defender,10,AFC Bournemouth,22 ,England
Clark Odour,Forward,9,Barnsley,22 ,Kenya
Greg Docherty,Midfielder,8,Hull City,24 ,Scotland
Steven Fletcher,Forward,8,Stoke City,34 ,Scotland
Sean Morrison,Defender,10,Cardiff City,30 ,England
Carlton Morris,Forward,2,Barnsley,25 ,England
Cameron Jerome,Forward,8,Luton Town,35 ,England
Saikou Janneh,Forward,1,Bristol City,0 ,England
Ryan Bennett,Defender,6,Swansea City,31 ,England
Jason Knight,Midfielder,5,Derby County,20 ,Republic of Ireland
Tom Barkhuizen,Midfielder,1,Preston North End,28 ,England
Callum Styles,Forward,10,Barnsley,21 ,England
